id,name,language,loc,words,keywords/global.json,keywords/nonlocal.json,keywords/import.json,keywords/from_import.json,keywords/globals.json,keywords/locals.json,keywords/inspect.json,keywords/builtins.json,count
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/logging.py,python,36,140,0,0,3,1,0,0,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/build_meta.py,python,511,1958,0,0,11,7,0,1,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/_imp.py,python,82,266,0,0,3,1,0,0,0,0,2
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/monkey.py,python,165,511,0,0,7,1,0,0,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/config/_validate_pyproject/fastjsonschema_validations.py,python,1035,27543,0,0,1,1,0,0,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/config/_validate_pyproject/formats.py,python,259,916,0,0,6,7,0,0,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/config/_validate_pyproject/__init__.py,python,34,103,0,0,0,7,0,0,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/config/_validate_pyproject/error_reporting.py,python,318,1194,0,0,5,4,0,0,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/config/_validate_pyproject/extra_validations.py,python,36,137,0,0,0,2,0,0,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/config/_validate_pyproject/fastjsonschema_exceptions.py,python,51,188,0,0,1,0,0,0,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/config/pyprojecttoml.py,python,493,2000,0,0,3,12,0,0,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/config/_apply_pyprojecttoml.py,python,377,1394,0,0,3,15,0,0,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/config/__init__.py,python,35,119,0,0,1,5,0,0,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/config/expand.py,python,462,1911,0,0,7,17,0,1,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/config/setupcfg.py,python,762,2311,0,0,4,14,0,0,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/windows_support.py,python,29,74,0,0,2,0,0,0,0,0,3
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/_entry_points.py,python,86,237,0,0,3,5,0,0,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/extern/__init__.py,python,76,248,0,0,2,0,0,0,0,0,1
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/_reqs.py,python,19,57,0,0,1,1,0,0,0,0,1
